PC,eigenvalue,explained_variance_ratio
PC331,1.906269056318568,0.0009531345281592839
PC332,1.9020428178787074,0.0009510214089393537
PC333,1.8997734622417144,0.000949886731120857
PC334,1.894793944799107,0.0009473969723995533
PC335,1.8917203509931315,0.0009458601754965656
PC336,1.890754014151207,0.0009453770070756033
PC337,1.8875865018565656,0.0009437932509282827
PC338,1.8801870327939658,0.0009400935163969828
PC339,1.8779142004811873,0.0009389571002405935
PC340,1.8769078249409779,0.0009384539124704888
PC341,1.8724141901902265,0.0009362070950951131
PC342,1.8700283221318237,0.0009350141610659118
PC343,1.8683776988644458,0.0009341888494322228
PC344,1.8644234264705268,0.0009322117132352633
PC345,1.862304960310645,0.0009311524801553224
PC346,1.8613059222288724,0.0009306529611144361
PC347,1.8576270538908541,0.000928813526945427
PC348,1.8535752783623791,0.0009267876391811894
PC349,1.8489110192391087,0.0009244555096195543
PC350,1.8468825514052902,0.000923441275702645
PC351,1.8435691742011249,0.0009217845871005623
PC352,1.8417017996275873,0.0009208508998137935
PC353,1.8381876585978174,0.0009190938292989086
PC354,1.8331422426581643,0.000916571121329082
PC355,1.8321825559567568,0.0009160912779783783
PC356,1.828855317289739,0.0009144276586448694
PC357,1.826245399396954,0.0009131226996984769
PC358,1.8245246994550854,0.0009122623497275427
PC359,1.8229127147785658,0.0009114563573892828
PC360,1.818968883974276,0.0009094844419871379
PC361,1.8166663258925853,0.0009083331629462925
PC362,1.814356415650787,0.0009071782078253934
PC363,1.8080516579709995,0.0009040258289854996
PC364,1.8060044665063366,0.0009030022332531682
PC365,1.802608809895628,0.0009013044049478139
PC366,1.7995192238016409,0.0008997596119008204
PC367,1.7986497636979422,0.000899324881848971
PC368,1.7962420466422628,0.0008981210233211314
PC369,1.7919322618601121,0.000895966130930056
PC370,1.7888949173252253,0.0008944474586626126
PC371,1.7848047687810034,0.0008924023843905016
PC372,1.7808423481662665,0.0008904211740831332
PC373,1.7772009381093277,0.0008886004690546637
PC374,1.776572930312339,0.0008882864651561694
PC375,1.7751287262826339,0.0008875643631413168
PC376,1.7708933491154264,0.0008854466745577131
PC377,1.7684132010711997,0.0008842066005355998
PC378,1.7676840609499789,0.0008838420304749893
PC379,1.7638477815230917,0.0008819238907615457
PC380,1.760582903647333,0.0008802914518236664
PC381,1.7569397455643627,0.0008784698727821813
PC382,1.7547959162742897,0.0008773979581371447
PC383,1.7496486953633588,0.0008748243476816793
PC384,1.7466285399904191,0.0008733142699952095
PC385,1.7416481442981533,0.0008708240721490765
PC386,1.7407711184957348,0.0008703855592478673
PC387,1.7392709116860088,0.0008696354558430043
PC388,1.7373314018568977,0.0008686657009284488
PC389,1.7329720193568157,0.0008664860096784078
PC390,1.7324311670159767,0.0008662155835079883
PC391,1.7286996256777893,0.0008643498128388945
PC392,1.7267203925466903,0.0008633601962733451
PC393,1.7233031295438608,0.0008616515647719302
PC394,1.7230571965624784,0.0008615285982812391
PC395,1.7199428714148761,0.000859971435707438
PC396,1.719229353277037,0.0008596146766385184
PC397,1.7131746737093136,0.0008565873368546567
PC398,1.7124763089590624,0.0008562381544795311
PC399,1.7107942229176434,0.0008553971114588216
PC400,1.7073834469614293,0.0008536917234807145
PC401,1.7041958414628018,0.0008520979207314007
PC402,1.699924251040245,0.0008499621255201224
PC403,1.6970300523381712,0.0008485150261690854
PC404,1.6945312370417405,0.0008472656185208701
PC405,1.6896701490087935,0.0008448350745043966
PC406,1.6883239580973315,0.0008441619790486657
PC407,1.685039244874221,0.0008425196224371104
PC408,1.6827526975171783,0.0008413763487585891
PC409,1.6790372973036085,0.0008395186486518042
PC410,1.6762104089799261,0.000838105204489963
PC411,1.674191100178854,0.000837095550089427
PC412,1.6729039838150377,0.0008364519919075188
PC413,1.6712206679468675,0.0008356103339734336
PC414,1.6683926103902307,0.0008341963051951152
PC415,1.6654414111297045,0.0008327207055648521
PC416,1.6614225393295459,0.0008307112696647729
PC417,1.6603869361086565,0.0008301934680543282
PC418,1.6591725199511782,0.000829586259975589
PC419,1.658342080240552,0.0008291710401202759
PC420,1.6565191645379993,0.0008282595822689995
PC421,1.6541946790401767,0.0008270973395200882
PC422,1.6501044321380791,0.0008250522160690395
PC423,1.6453828251965816,0.0008226914125982907
PC424,1.6445714282399337,0.0008222857141199668
PC425,1.6430798581638217,0.0008215399290819107
PC426,1.641260294106404,0.0008206301470532019
PC427,1.6374425017964733,0.0008187212508982366
PC428,1.6327741614450666,0.0008163870807225332
PC429,1.6287347561003795,0.0008143673780501897
PC430,1.6279058513100404,0.0008139529256550201
PC431,1.6265639519486814,0.0008132819759743406
PC432,1.6197690283601516,0.0008098845141800757
PC433,1.6175175997467648,0.0008087587998733823
PC434,1.6141709999869887,0.0008070854999934942
PC435,1.6126275378310633,0.0008063137689155315
PC436,1.6083586719906857,0.0008041793359953428
PC437,1.606433951863103,0.0008032169759315514
PC438,1.6045418753494347,0.0008022709376747173
PC439,1.6019839949977404,0.0008009919974988701
PC440,1.5995077201601557,0.0007997538600800777
PC441,1.5987017750110986,0.0007993508875055492
PC442,1.5967589455388174,0.0007983794727694086
PC443,1.5951113844905471,0.0007975556922452735
PC444,1.59339166561652,0.0007966958328082599
PC445,1.5893425645554804,0.0007946712822777401
PC446,1.5883043907718803,0.0007941521953859401
PC447,1.5843268412559528,0.0007921634206279763
PC448,1.580325848498295,0.0007901629242491473
PC449,1.5785552926228468,0.0007892776463114233
PC450,1.577386614626194,0.0007886933073130969
PC451,1.572995902318984,0.0007864979511594918
PC452,1.5691828094162086,0.0007845914047081042
PC453,1.5679405333861518,0.0007839702666930758
PC454,1.56653322607732,0.0007832666130386599
PC455,1.5643414354210738,0.0007821707177105368
